[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\core\paginator.py first seen with mtime 1604686150.890347
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\markupsafe\__init__.py first seen with mtime 1560724045.06437
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1604686150.9062731
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\jinja2\nodes.py first seen with mtime 1560724044.212972
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1604686151.1710207
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1604686150.905293
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\contrib\postgres\fields\citext.py first seen with mtime 1604686149.814702
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1604686175.5401726
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\contrib\postgres\utils.py first seen with mtime 1604686149.8047256
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\heapq.py first seen with mtime 1553545282.0
